Kode #Nama Barang,Kode #,Nama Barang
410189SPARE PART LISTRIK - CP,410189,SPARE PART LISTRIK - CP
"910001AIR CONDITIONER - DAIKIN 1,5 PK",910001,"AIR CONDITIONER - DAIKIN 1,5 PK"
910001AIR CONDITIONER - DAIKIN 2 PK,910001,AIR CONDITIONER - DAIKIN 2 PK
"910001AIR CONDITIONER - DAIKIN FTV/RV-35CXV14 1,5PK MALAYSIA",910001,"AIR CONDITIONER - DAIKIN FTV/RV-35CXV14 1,5PK MALAYSIA"
910001AIR CONDITIONER - GREE 2 PK GWC-18MOO5,910001,AIR CONDITIONER - GREE 2 PK GWC-18MOO5
910001DVR CCTV - HILOOK 16 + 8 CHANEL 5IN1 5MP,910001,DVR CCTV - HILOOK 16 + 8 CHANEL 5IN1 5MP
910001DVR CCTV - HILOOK 8 CHANEL 5IN1 5MP,910001,DVR CCTV - HILOOK 8 CHANEL 5IN1 5MP
910001HANDPHONE (HP) - IPHONE 11 128GB,910001,HANDPHONE (HP) - IPHONE 11 128GB
910001HANDPHONE (HP) - REALME C67 8GB/128GB,910001,HANDPHONE (HP) - REALME C67 8GB/128GB
910001LAPTOP SET - ASUS VIVOBOOK PRO 15 M6500QC-OLEDS551,910001,LAPTOP SET - ASUS VIVOBOOK PRO 15 M6500QC-OLEDS551
910001LAPTOP SET - LENOVO IDEAPAD 3-14IAH8,910001,LAPTOP SET - LENOVO IDEAPAD 3-14IAH8
910001LAPTOP SET - LENOVO V14 G3 IAP,910001,LAPTOP SET - LENOVO V14 G3 IAP
910001PC SET - I3 GEN 10,910001,PC SET - I3 GEN 10
"910001POMPA AIR - SUBMERSIBLE YORK 1,5HP",910001,"POMPA AIR - SUBMERSIBLE YORK 1,5HP"
910001POMPA AIR-WASSER PC-380EA,910001,POMPA AIR-WASSER PC-380EA
910001PROYEKTOR - EPSON EB E500 LCD,910001,PROYEKTOR - EPSON EB E500 LCD
910001PYLONSIGN 2 SISI -  LOGO 24 JAM,910001,PYLONSIGN 2 SISI -  LOGO 24 JAM
910001RAK SOLID 4 TIERS (COLD STORAGE AREA),910001,RAK SOLID 4 TIERS (COLD STORAGE AREA)
910001RAK SOLID 4 TIERS (DRY STORAGE AREA),910001,RAK SOLID 4 TIERS (DRY STORAGE AREA)
910001SINGLE KWALIE RANGE,910001,SINGLE KWALIE RANGE
910001STOCK POT STOVE 2 BURNER,910001,STOCK POT STOVE 2 BURNER
910001STOCK POT STOVE 3 BURNER,910001,STOCK POT STOVE 3 BURNER
